"","STATE_ABBR","NAME","show_count"
"1","AR","Arkansas",NA
"2","AZ","Arizona",NA
"3","CO","Colorado",19
"4","IA","Iowa",NA
"5","IL","Illinois",2
"6","IN","Indiana",3
"7","KS","Kansas",NA
"8","MO","Missouri",NA
"9","NE","Nebraska",NA
"10","NM","New Mexico",NA
"11","NV","Nevada",NA
"12","OK","Oklahoma",NA
"13","TN","Tennessee",NA
"14","UT","Utah",NA
"15","WV","West Virginia",NA
"16","ID","Idaho",NA
"17","MT","Montana",NA
"18","ND","North Dakota",NA
"19","SD","South Dakota",NA
"20","VT","Vermont",16
"21","WY","Wyoming",NA
"22","PR","Puerto Rico",NA
"23","VI","U.S. Virgin Islands",NA
"24","FL","Florida",NA
"25","TX","Texas",3
"26","AL","Alabama",1
"27","GA","Georgia",7
"28","LA","Louisiana",1
"29","MS","Mississippi",NA
"30","SC","South Carolina",10
"31","CA","California",NA
"32","CT","Connecticut",4
"33","DC","District of Columbia",3
"34","DE","Delaware",NA
"35","KY","Kentucky",NA
"36","MA","Massachusetts",11
"37","MD","Maryland",1
"38","NC","North Carolina",6
"39","NJ","New Jersey",1
"40","NY","New York",19
"41","OH","Ohio",4
"42","PA","Pennsylvania",7
"43","RI","Rhode Island",5
"44","VA","Virginia",5
"45","WI","Wisconsin",2
"46","MI","Michigan",NA
"47","ME","Maine",5
"48","MN","Minnesota",2
"49","NH","New Hampshire",10
"50","OR","Oregon",NA
"51","WA","Washington",NA
